date,id,content,username,likeCount,retweetCount
2022-12-05 20:47:20+00:00,1599868045475864582,Third-party #Twitter app makers turn their attention to #Mastodon. https://t.co/lqX07iwZc6,fl0rinb,0,0
2022-12-05 20:43:38+00:00,1599867111371083776,"軸足をマストドンに移しつつある
https://t.co/MYuQ3M6qJw

なんだかゼロ年代のTwitterを思い出すような、ノスタルジックな空間が広がっていますよ
#マストドン #Mastodon",mario_mandala,1,1
2022-12-05 20:43:08+00:00,1599866988494348288,Moving to #Mastodon next week for good. Come join!,Grownassman9,0,0
2022-12-05 20:42:02+00:00,1599866712291045376,Ab sofort bin ich auch auf #Mastodon als @tgau@home.social aktiv. #mastodonmigration,tgau72,0,0
2022-12-05 20:38:58+00:00,1599865938681159684,Looking for a new #writingcommunity? Check out https://t.co/umYeseSOfl an alternative social media site just for authors. Have a backup in case Twitter goes down. Join #Mastodon and start connecting with the author community there. It's growing!,EponaAuthor,0,0
2022-12-05 20:35:53+00:00,1599865161245941774,"avuto 3 volte la popolazione di #mastodon nella nostra istanza!

https://t.co/Xj0fG6YeXd ha resistito bene agli attacchi, abbiamo dovuto metterlo offline più volte per impostare le dovute contromisure

I problemi sono risolti ma potrebbero esserci rallentamenti fino a (2/3)",alessioconforto,0,0
2022-12-05 20:31:35+00:00,1599864079027691520,"Habe sowas wie #Mastodon schon mal vor ca. 20(!) Jahren erlebt. Ein Forum führte eine Meldefunktion ein. Leute schrien Zeter und Mordio und Zensur und wanderten in eine winzige Community ab. 
Die meisten kamen schnell zurück. Manche nicht. Aber in dem kleinen Forum blieb: 1/x",bnlflo,0,0
2022-12-05 20:30:02+00:00,1599863689762701313,@RBReich #Mastodon,sc_g_cox_70_33,1,0
2022-12-05 20:26:55+00:00,1599862906564546560,"@dwvcd OMG, you and @kanjo are kinda the holdouts from my #JapanLife that aren't in the #fediverse yet.

If you ever cross over into #mastodon, #soapbox, #pleroma or anything that will get you into #indieweb, you can find me: https://t.co/WpKMibVOAB

Let me know if you need help w/this.",StarrWulfe,0,0
2022-12-05 20:24:43+00:00,1599862351645184001,"CW: #TwitterMigration
Please use hashtags if you would like your posts to be found by others on #Mastodon. For example: if I search for ""astronomy"", no results. But searching #astronomy or #astrodon reveals hundreds of great posts (though, only the ones using these hashtags).",urbandata,0,0
2022-12-05 20:24:03+00:00,1599862186687406081,"#Twitter #Musk
#Mastodon https://t.co/gKYmAa2uwS",PHD2468,0,0
2022-12-05 20:23:27+00:00,1599862035264610305,"Thanks to everyone who found it informative🙏
Many people ask ""How do I choose a #Mastodon server? 
If you're just following and interacting, it doesn't matter. Because the #Mastodon server can communicate with other #Mastodon servers. https://t.co/4kFdhQQpv2 https://t.co/KXslHFWjH4",ufangyang,0,0
2022-12-05 20:18:14+00:00,1599860721881579520,@elonmusk Even more on #Mastodon,CarringBush2010,0,0
2022-12-05 20:10:58+00:00,1599858890623094981,Note: This release is still in testing phase and some #Mastodon features aren't implemented yet! Also there may be some bugs I didn't fix yet. Install this app on your own risk.,nuclearfog,0,0
2022-12-05 20:08:47+00:00,1599858341710540800,@gynecka @cbouzy #Post #Mastodon,suestroud,0,0
2022-12-05 20:08:37+00:00,1599858299951845407,"TT Twitter #Italia 21:08:
1 #BrasileCoreadelSud
2 #Sanremo2023
3 #5dicembre
4 #BRAKOR
5 Brazil
6 #Mastodon
7 #upas
8 Bankitalia
9 Giappone
10 Paola
11 Neymar
12 Amadeus
13 Renzi
14 Grassani
15 Grignani
16 Banca
17 Articolo 31
18 Biagio
19 Benji
20 Anna Oxa",TendenzeItalia,0,0
2022-12-05 20:06:23+00:00,1599857738078687241,"Here is the first #SH1TT3R release supporting both #Twitter and #Mastodon. Download here: https://t.co/uorf7wH4HL 
#android #opensource #twitterapp #github",nuclearfog,0,0
2022-12-05 20:02:23+00:00,1599856731047268363,"RT @thetitanborn@mstdn.social
Friendly #Mastodon Tip of the Day 21

We have:

❌ no ads
❌no crypto
❌no trackers
❌no algorithms
❌no blockchain

🔁 Only love ❤️
https://t.co/s661ilCBYm",VikTechGeek,0,0
2022-12-05 20:01:11+00:00,1599856429950988288,"#artistsontwitter 
When you join 
 *** https://t.co/eeY0mzClN0 ***
#Mastodon instance
Be sure to follow me at http://mastodon.art@soulofashu
🐘 https://t.co/zT4FweGws6",soulofashu,4,2
2022-12-05 20:00:25+00:00,1599856236266037248,"Find the right #Mastodon 🐘🐘server for you.
https://t.co/1aRzVJjBYZ",Sennacherub,0,0
2022-12-05 19:59:50+00:00,1599856088685236225,"Gut das die ganzen Faschos zu #Mastodon gehen, da können die sich gegenseitig, melden, canceln, zensieren und sich mit ihrer Propaganda die Hirne waschen.",Rotbart25883195,5,1
2022-12-05 19:58:12+00:00,1599855680801759232,@SenWhitehouse @AlHuntDC You should have your staff create a #Mastodon account for you seeing that there is a mass exodus from Twitter,Sennacherub,0,0
2022-12-05 19:58:06+00:00,1599855655292407809,"Noch unsicher, welche Instanz es auf #Mastodon werden soll? @ebildungslabor empfiehlt in unserem Stammtisch die Seite https://t.co/Wm077lSnWB. Dort kann man z.B. nach Kategorien filtern. Und: man kann auch die eigene Instanz vorschlagen. #hhswk",_MannbeisstHund,0,0
2022-12-05 19:53:28+00:00,1599854487715184640,@MpStephanWeil @Kurkamp Zu welcher #Mastodon Instanz wird ein Wechsel geprüft?,holmi_geirr,0,0
2022-12-05 19:53:24+00:00,1599854471785218049,"@easypoliticsUK hello I'm a big fan of your updates, are there any plans to post to #Mastodon?",okwithmydecay,0,0
2022-12-05 19:50:48+00:00,1599853815980822542,"Techcrunch: Third-party Twitter app makers turn their attention to Mastodon #apps #social #mastodon
https://t.co/oC5IkvLQ0a https://t.co/Htzh3WUxXX",media_newsnoon,0,0
2022-12-05 19:49:32+00:00,1599853497968898049,"So far, it's not even close. With #HiveSocial being run by two chimps and the sloth they hired thinking it'd be alright, #Mastodon is WAY ahead of the game. If there have been outages (and there have, but only servers, not the whole network at once), they're only a few hours long",LPTV_Live,0,0
2022-12-05 19:48:28+00:00,1599853230665891842,"May lurk from time to time.
But this account is officially going to #Mastodon. 
Goodbye Twitter
Find me on
mart@mastodonners.nl",martcraft2,0,0
2022-12-05 19:43:51+00:00,1599852065999572992,Mi sono trasferito su https://t.co/Nl8C2FVY2f chi volesse seguirmi su #mastodon mi trova qui https://t.co/lgpJYpyfkc il mio nuovo nome utente è @incruscato@mastodon.cloud,Incruscato,3,1
2022-12-05 19:39:28+00:00,1599850963434708992,"I really don’t get why some people on #Mastodon are so furious that people here are still on #Twitter.
There arguments show a lack of nuance, and really poor understanding of the human condition.
Remaining on Twitter isn’t tacit… https://t.co/eTxXWSfexc",twcau,0,0
2022-12-05 19:39:10+00:00,1599850889715585024,Just want to put it out there for those toying with maintaining #Twitter and #Mastodon presences there is a cool cross posting ability here https://t.co/rA7z6D3no5 doesn't hurt to have the same content for both while figuring out ones plan,marxistvegan,0,0
2022-12-05 19:39:04+00:00,1599850865199816704,"Ne wersion of #thedesk #mastodon client 
 
    Use Mastodon 4.0 Translate API to translate toot
    fix thread error
    fix display_name size when system font-size change
    Delete amazon wish list link
    Add notification of… https://t.co/NWGwmZoS2r https://t.co/8iZGaRE04q",Agee_m0iga,0,0
2022-12-05 19:38:33+00:00,1599850734803390464,https://t.co/5zU5gIGiXz Third-party #Twitter app makers turn their attention to #Mastodon https://t.co/h14ve1U93X https://t.co/3WcLOlfaLV,WefixitE,0,1
2022-12-05 19:35:39+00:00,1599850004822171649,"Inzwischen sind noch mehr meiner Tweets mehrteilig, als sie vorher waren ;)
Denn ich schreibe ja drüben auf #Mastodon und da habe ich 500 Zeichen...",Johann_v_d_Bron,10,1
2022-12-05 19:32:16+00:00,1599849154179526656,"@Incruscato @filippodb credo che la DISCRIMINAZIONE
finto-laicista sia dietro l'angolo

che non sia sovvenzionato...
dalla Cina...

hanno qualcosa in comune

#Mastodon",incompiutezza1,1,0
2022-12-05 19:31:38+00:00,1599848993885892608,"Without exaggeration; The amount of resource &amp; effort necessary to install &amp; build #Mastodon, is similar to that required to build a complete developer environment for the entire Deliveroo backend.",AlecMuffett,16,4
2022-12-05 19:26:32+00:00,1599847710735335424,"Okay, taking a break from this thread to get some rest.

I'll come back later with some links to articles that I found helpful. And maybe a few other thoughts.

#Mastodon #MastodonMigration #Twitter #TwitterExodus

11/n",ahimsa_pdx,0,0
2022-12-05 19:23:10+00:00,1599846864790360064,"Second - You can follow hashtags!

I don't have to follow everyone who posts about #MEcfs. On #Mastodon I can follow #MEcfs.

My home timeline shows all posts with this hashtag even if I don't follow the user. Posts made by users ON ANY SERVER show up in my home timeline.

10/n",ahimsa_pdx,1,0
2022-12-05 19:21:08+00:00,1599846351948632064,"Hey, all of you with your #Mastodon handle in your titles, why are you still here posting, rather than on, you know, Mastodon?",CoworkerLeast,2,0
2022-12-05 19:20:23+00:00,1599846162953035780,A2 Die @stabi_erlangen ist noch auf #Twitter und nun auch unter https://t.co/sw5tx9LGqK auf #Mastodon. Wir warten die weitere Entwicklung ab. Letztendlich werden wir uns für einen Microblogging-Dienst entscheiden. #BibChatDE,marlene_n,2,0
2022-12-05 19:20:19+00:00,1599846145689554944,"There are many things I prefer about #Mastodon. Even if twitter weren't falling apart, and failing to do proper moderation (eg, no longer removing #COVID19 misleading information! see link), moving was worth it in order to get these new features. 

https://t.co/X1CfK4yeQg

8/n",ahimsa_pdx,0,0
2022-12-05 19:19:10+00:00,1599845856735162369,"Spam and bullshit on #Twitter has increased enourmously after ""someone"" took over it! 😡💢🗯️slowly moving on to #Mastodon #MastodonSocial #RIPTwitter",counivers,0,0
2022-12-05 19:18:20+00:00,1599845645950799873,"Die Vorteile von #Mastodon von @ebildungslabor auf unserem Stammtisch #hhswk zusammengefasst: sie sieht dort eine konstruktive, nicht empörungsgeleitete Diskussionskultur. Außerdem: digitale Souveränität und eine Perspektivenvielfalt. Wer ist schon dabei?",_MannbeisstHund,0,0
2022-12-05 19:17:22+00:00,1599845404535033857,"I think most folks use apps to access #Mastodon but I use the web interface on a laptop, similar to how I use twitter.

I prefer keyboards to touch screens. I rarely use apps on a phone / tablet so I can't give any app reviews.

6/n",ahimsa_pdx,0,0
2022-12-05 19:16:42+00:00,1599845237442351106,@ebildungslabor vergleicht das #Fediverse mit dem Barcamp unter den sozialen Netzwerken. Heißt: alle übernehmen gemeinsam Verantwortung. #hhswk #Mastodon,_MannbeisstHund,0,0
2022-12-05 19:15:43+00:00,1599844987105148930,A2 Ich lebe mich gerade in #Mastodon ein. Es ist noch ungewohnt. Aber ich fühle mich dort inzwischen wohler als bei #Twitter. Gefühlt funktioniert der Austausch hier nicht mehr besonders gut. Viele haben sich verabschiedet. #BibChatDE,marlene_n,1,0
2022-12-05 19:13:27+00:00,1599844418710016002,"I'm a #Mastodon newbie (joined in April, regular user for the past month) but I'm happy to share what little I know.

I've got cognitive issues but I've had no trouble learning to use Mastodon. My biggest hurdle was choosing a server, aka, an instance.

3/n",ahimsa_pdx,0,0
2022-12-05 19:12:45+00:00,1599844242620575744,"due to uncertainty in life, i’m cross posting most things from my various #Twitter accounts to corresponding #Mastodon:

@filmfreak75@mastodon.cloud
@filmfreakmafia@mastodon.social
@ApocalypseSoon@mastodon.social

also see my @getsoloto link in bio",filmfreak75,0,0
2022-12-05 19:12:42+00:00,1599844229085560833,"I want to share my #Mastodon experience- helpful links, examples, etc. But I have cognitive issues of my own so it'll take time and effort to write this thread. 

Please forgive me if I write something confusing! 

Feel free to ask questions, be patient with my slow replies.

2/n",ahimsa_pdx,0,0
2022-12-05 19:12:20+00:00,1599844138362736640,"A thread for folks curious about moving to #Mastodon 🧵

I especially want to help #PwME #PwLC and other folks who have cognitive issues / #BrainFog

I'm rarely here but followers can ask me questions via DM. (or tag me - replies will be slow!)

#MEcfs #LongCovid #NEISvoid
1/n",ahimsa_pdx,0,0
2022-12-05 19:10:00+00:00,1599843548467269632,"F2 Ist #Twitter schon Geschichte (für #MenschenInBibliotheken)? Viele wechseln z.B. zum Server https://t.co/JZxrEE3UXq der @sbb_news. 
Wie geht’s euch mit #Mastodon?

#BibchatDE",BIBChatDE,0,2
2022-12-05 19:06:13+00:00,1599842597014380544,"Übrigens: Drüben auf #Mastodon berichte ich, wie es beim #Radschnellweg #Osnabrück #Belm steht - geht es da vorwärts?
https://t.co/TYsj7lKUBV",VolkmarGruen,0,0
2022-12-05 19:02:04+00:00,1599841553178034177,"TT Twitter #Italia 20:02:
1 #Sanremo2023
2 #5dicembre
3 Giappone
4 #Schlein
5 #FRAPOL
6 #Croazia
7 Paola
8 Bankitalia
9 #Mastodon
10 Benji
11 buona domenica
12 Amadeus
13 Anna Oxa
14 Renzi
15 Grassani
16 Grignani
17 Articolo 31
18 Biagio
19 Banca
20 Elodie",TendenzeItalia,1,0
2022-12-05 19:01:02+00:00,1599841294305853440,"Episode 173 is live🎉

What is Mastodon? Should marketers bother with it?

Great chat with the host of the First Class Founders podcast &amp; serial entrepreneur @YongSooChung 

Listen up for lots of Mastodon chat👇

https://t.co/rBHPK8XF10

#mastodon #marketing #startup https://t.co/m9X0lnvMfx",JonTromans,1,0
2022-12-05 19:00:19+00:00,1599841112843517953,"Hier ist nur mein Bot. Humane Interaktionen gibt es unter @carolina@norden.social auf #Mastodon.
Macht's gut und Danke für den Fisch.",carolinakoehn,1,0
2022-12-05 19:00:00+00:00,1599841032690053120,"Willkommen zum #BibChatDE-#Jahresrückblick! Wir sprechen über unsere #Bibliotheken aber auch über geeignete Plattformen zum Austausch, etwa #Mastodon. 

Es moderieren @jeb_140
 und @marlene_n. Fragt uns gerne direkt, wenn etwas unklar ist.",BIBChatDE,5,2
2022-12-05 18:59:22+00:00,1599840872098516992,Note: I am currently managing many different platforms and building them from the ground up. I may be slow to respond or content mht be lht till everything shakes out. I need everyone to have a little patience during this time #Post #Mastodon #Insta #FB #Youtube #CS https://t.co/U2sSLhIQFU,cxkjoszue99530,0,0
2022-12-05 18:59:11+00:00,1599840828373241856,"@SchwesterFD Heul leiser Chantal, es nervt. Geh zu #Mastodon  und schreibe Deinen Meinung dort, da wirst du dauernd immer positives Feedback bekommen, so wie Ihr es wollt. So ganz ohne Kritik.",derscharfekanal,0,0
2022-12-05 18:56:53+00:00,1599840247377842178,"No ćwirki tu już się nie ma co zastanawiać! To trzeba iść i pomacać samemu. Być może to ostatni moment, żeby kiedyś móc powiedzieć „byłem na mastodonie zanim to było modne”. ;-)

https://t.co/DOGdguZlzY

#mastodon #muskogeddon",JakubKlawiter,1,0
2022-12-05 18:52:21+00:00,1599839106502389760,"@cityradler @BierfahrtCR Viel Erfolg bei #Mastodon 👍
Bald treffen wir uns dort",Tempo_30_MH,1,0
2022-12-05 18:52:19+00:00,1599839100411879424,"Kleine Stimmungsumfrage am Anfang: 90% der Teilnehmenden unseres Stammtisches #hhswk sind bei #Twitter, 42% bei #Mastodon, 39% nutzt eine andere Plattform, 3% nutzt keine der Plattformen. Benutzt ihr sowohl Twitter, als auch Mastodon?",_MannbeisstHund,0,0
2022-12-05 18:49:46+00:00,1599838457450446849,"The race to build a better Twitter 
 https://t.co/lPSFoWcOiY

via @TheVerge

#twitter #mastodon",redcrew,0,0
2022-12-05 18:49:42+00:00,1599838438802407425,"Zurück zu Facebook, und #Mastodon, reicht für die Verbreitung. Denkt was ihr wollt, aber entweder werden wir sowieso massiv weggemeldet, oder stehen auf einer Liste und #Musk lässt uns sperren.",Gegen_die_AfD,26,1
2022-12-05 18:48:59+00:00,1599838261542690817,"Sessel, Buch, Bier. Auf #Mastodon.",KuhnkeRuediger,2,0
2022-12-05 18:47:24+00:00,1599837863314497536,"@Incruscato @filippodb come volevasi dimostrare,
UAAR
non è associabile
ad una associazione/religione che fa proselitismo ?

senza nulla togliere 
alle orribili ipocrisie di Sangiuliano...😡🤬
nella mia amata Subiaco....
#Mastodon https://t.co/Qr9RgOVoTb",incompiutezza1,0,0
2022-12-05 18:47:06+00:00,1599837786605031442,"Wow: #Mastodon-Instanz https://t.co/8agWaapxJu toleriert keine crossposts mehr.

Komplettes Verständnis, aber somit stirbt auf einer großen Instanz schon mal ein Killer-Feature https://t.co/wsWUAgGPB4 https://t.co/cROYaB7iZG",fatmike182,2,1
2022-12-05 18:45:00+00:00,1599837256906207232,"In 45 Minuten startet der #BibChatDE-#Jahresrückblick! 

Wir sprechen über unsere #Bibliotheken aber auch über geeignete Plattformen zum Austausch. #Twitter, #Mastodon, weitere Alternativen?

https://t.co/gtBEYqc4is",BIBChatDE,1,2
2022-12-05 18:40:32+00:00,1599836134913122304,@UBrummack Siehe #Mastodon,KuhnkeRuediger,6,0
2022-12-05 18:39:48+00:00,1599835948484698112,"#mastodon ?
venez sur https://t.co/WO0igRPlfw
cool. bonne modération. sérieux. si.
je recommande",phil__O_o,0,0
2022-12-05 18:39:12+00:00,1599835800060932098,"Switching to #Mastodon: @katiezoo@nnia.space
#mastodonmigration",LittleKJLove,0,0
2022-12-05 18:38:50+00:00,1599835704678174720,"First *and probably last* tweet to warmly invite #jugglers to sign up on our #circus #mastodon instance https://t.co/1HCOd1EkAM 

We’ll be pleased if you join !

#juggling #juggler #FlowArts #ContactJuggling #JugglingCommunity #ByJugglersForJugglers 
#Fediverse",jugglersnetwork,0,0
2022-12-05 18:38:27+00:00,1599835611652706304,"I have 5 times as many followers here as I do as #Mastodon - yet, over there this post announcing a summer research opportunity got 9 boosts (retweets). Here? Zero engagement. My Twitter social graph is officially busted. https://t.co/wG8doQCG0l",djvanness,1,0
2022-12-05 18:35:42+00:00,1599834916275077122,@Mis5principales Cuando descubres que tu hater de #Twitter te ha seguido a #Mastodon https://t.co/GDc30Cgk28,Nuitem,0,0
2022-12-05 18:35:19+00:00,1599834819260665856,"Habe mich übrigens gestern versehentlich mal ein Viertelstündchen auf #Mastodon umgesehen und wie soll ich das beschreiben: Es war süßlich-schleimig wie pürierte Teletubbies.
#Masturdon",AbschnittsBV,14,0
2022-12-05 18:30:06+00:00,1599833508276363264,"This instance is under maintenance

#Mastodon",elihh3,0,1
2022-12-05 18:24:57+00:00,1599832213134004224,Bitte Taten wie in #Illerkirchberg nicht künstlich hochsterilisieren. Sonst verlasse ich #Twitter und gehe in das regenbogenbunte #Mastodon wie unsere rotgrüne #Elite.,PFFM4,2,1
2022-12-05 18:24:38+00:00,1599832134105329665,Gleich geht‘s los um 19:30 beim Stammtisch #Wissenschaftskommunikation #hhswk zu #Mastodon. https://t.co/HmXTSwkXMj,N_Wessinghage,0,0
2022-12-05 18:19:49+00:00,1599830920865148929,"Ich gehe nicht zu #Mastodon.

Was soll denn die Kacke?",Atomreisfleisch,5,0
2022-12-05 18:17:55+00:00,1599830440718004224,"@zodiack79 Ein Schelm der böses denkt.
Diese Schweine tummeln sich nun auf #Mastodon https://t.co/fnk2c312AO",Kallipygos4,1,0
2022-12-05 18:15:55+00:00,1599829937837703169,"@JessicaCoblentz There is a #Mastodon thread praising this book, btw!: https://t.co/tNCBccA2Lp",TumnusEthic,1,0
2022-12-05 18:14:53+00:00,1599829677215952896,"Just added a new tool to my updated ""How to Find Your Twitter People on Mastodon"" article to help you find the people you follow on Twitter on Mastodon even more easily: https://t.co/KH8u2iA8HO 

#twitter #mastodon #TwitterMigration #SocialMedia #migration #HowTo",DavidAugust,0,3
2022-12-05 18:14:00+00:00,1599829455630786561,"Is it time to check out #Mastodon yet? https://t.co/QYksqw6MD5

@mgifford@mastodon.social",mgifford,0,0
2022-12-05 18:11:00+00:00,1599828701536886785,@savantures @thalesgroup Partagé sur #Mastodon 😊,Bassogna,1,0
2022-12-05 18:09:19+00:00,1599828279166259200,El frikismo peliculero en #Mastodon es otro nivel 🤯,Paula_Arenzana,1,1
2022-12-05 18:04:19+00:00,1599827020422303744,"TT Twitter #Italia 19:04:
1 #Sanremo2023
2 #5dicembre
3 Giappone
4 #Croazia
5 #JPNCRO
6 #Schlein
7 Benji
8 #Mastodon
9 Paola
10 Bankitalia
11 buona domenica
12 Amadeus
13 Renzi
14 Anna Oxa
15 Grassani
16 Jalisse
17 Articolo 31
18 Grignani
19 Modric
20 Biagio",TendenzeItalia,0,0
2022-12-05 18:03:47+00:00,1599826886816940041,"@ozeanisch2 Ja komm, wir furzen uns gegenseitig mein #mastodon voll.",burkameister,3,0
2022-12-05 18:01:43+00:00,1599826366178164736,"""Sollte #Mastodon #Twitter ablösen, könnte indes bald Ernüchterung eintreten: Wollten Staaten illegale Inhalte bekämpfen, hatten sie bei Konzernen immerhin einen Ansatzpunkt, so sehr sie sich sträubten.""

#Breton ist unterhellt. https://t.co/yHJpXwm2sM",virchow_de,1,0
2022-12-05 18:01:17+00:00,1599826256476143616,"You should join us on #Mastodon, @CharityVillage, @techsoupcanada, @TrilliumGift, @TheGreenLineTO, @BrandsDiversity, @DiversityCanada, @DiversityCanada,@SMDhealthunit #TwitterMigration #J2DW",J2DWP,0,0
2022-12-05 18:00:49+00:00,1599826140335833090,"Turno de tarde: hoy he publicado mis primeras impresiones tras registrarme en #mastodon y explorar la nueva red social propuesta para substituir a #twitter si esta finalmente cayera o cambiara substancialmente. Podéis leerlo en mi blog en @Naukas_com 

https://t.co/fdJOuP13sL",LluisMontoliu,3,3
2022-12-05 17:59:52+00:00,1599825901574930453,Das Phantastische Projekt neu auf #Mastodon: https://t.co/qu0VW9b8aC / Unser #Telegram-Kanal: https://t.co/GqAYDfbAOE #Twitter #Musk,phantaspro,0,0
2022-12-05 17:59:44+00:00,1599825864593752073,"RT @joe@mastodon.joedean.dev
A riff on #XKCD 1269, relevant to the #selfhosted #Mastodon #fediverse.
https://t.co/kZyFOg6XqA https://t.co/4uoqai1loT",zmbcgn,0,0
2022-12-05 17:54:32+00:00,1599824557422305281,"Do you use #Mastodon? If so, what servers do you find community on? 

#mastodonmigration #MastodonSocial #MastodonMonday",dtapscott,1,1
